version,run,valid,commit,change_type,unique_variable,window_minutes,candidates,pure_fbs,reliable_cost,profit_pass,submitted,in_window_confirmed,carry_in_confirmed,own_in_window_confirmed,late_confirmed,attributable_finals,strict_per_hour,production_per_hour,pure_fbs_rate,reliable_1688_rate,final_conversion,captcha,soft_block,browser_crash,runtime_error,production_files_changed
v182,20260725_050900_ozon10m_v182,true,038c2d9919d9509ce6d7a9608f6a08d4e1637737,配置,source-set-to-adjacent-pages-of-final-publish-winners,10,8,7,4,3,3,3,0,3,0,3,18,18,0.875,1,1,0,0,0,0,
v183,20260725_052200_ozon10m_v183,true,d416ebaa9a8cd8d05f81ec0da513b33d9b5bf7e8,配置,source-set-to-v181-unreached-unscanned-pure-fbs-sellers,10,10,8,6,3,3,1,0,1,2,3,6,18,0.8,0.75,1,0,0,0,0,
v184,20260725_053400_ozon10m_v184,true,fe25084c074977bf0de5f721e4cc0559a5018e82,配置,source-set-to-highest-eligible-density-v183-seller,10,3,2,1,0,0,2,2,0,0,0,12,0,0.6666666666666666,0.5,,0,0,0,0,
v185,20260725_054700_ozon10m_v185,true,28957bcae524ea9f81ea75a6479e9077df87b325,配置,source-set-to-interleaved-unscanned-discount-frontiers,10,4,4,2,0,0,0,0,0,0,0,0,0,1,0.5,,0,0,0,0,
v186,20260725_060000_ozon10m_v186,true,5f9f33560c37ff689db453ef765dbca8e26d3a60,配置,source-set-to-standardized-historical-winner-title-searches,10,8,8,5,4,4,3,0,3,0,3,18,18,1,0.8333333333333334,0.75,0,0,0,0,
v187,20260725_061400_ozon10m_v187,true,51e416dc2b34cf475978dd2c989b26a822a221c2,配置,source-set-to-unconsumed-sock-title-variants,10,12,11,8,8,8,3,1,2,5,7,18,42,0.9166666666666666,0.8,0.875,0,0,0,0,
v188,20260725_062800_ozon10m_v188,true,10e75d260b33a3eb2ce0ca22586b22ce79ae3b23,配置,source-set-to-five-validated-dense-sock-pages,10,0,0,0,0,0,5,5,0,0,0,30,0,,,,0,0,0,0,
v189,20260725_064200_ozon30m_v189,true,0bf1d105565aa075446a79afcf68246969d46896,代码+配置,formal-source-set-to-unconsumed-sock-title-and-deep-page-variants,30,24,23,10,8,8,7,0,7,1,8,14,16,0.9583333333333334,0.5,1,0,0,0,0,flow_b_codex_transfer_20260608/scripts/flow_b_playwright.mjs;flow_b_codex_transfer_20260608/scripts/flow_b_playwright/continuous-runtime.mjs
v190,20260725_071600_ozon10m_v190,true,2652411b486bf4cdd2b971f7356727ea6e176625,配置,replace-low-yield-search-variants-with-historical-final-success-seller-pages,10,17,14,9,4,4,2,1,1,3,4,12,24,0.8235294117647058,0.75,1,0,0,0,0,
v191,20260725_072800_ozon10m_v191,true,d0c2614a91533fec5f7e447ccd5be98cbc6158e9,配置,remove-v190-dry-pages-and-use-remaining-unscanned-final-success-sellers,10,16,8,4,4,4,7,3,4,0,4,42,24,0.5,0.5,1,0,0,0,0,
v192,20260725_074000_ozon30m_v192,true,b452e3faa4d836277334b41830331af112dd3c22,配置,formal-continuation-of-v191-final-success-seller-source-strategy,30,12,9,5,3,3,2,0,2,1,3,4,6,0.75,0.7142857142857143,1,0,0,0,0,
v193,20260725_081400_ozon10m_v193,true,0f226eea4638d583993d9ec8444a3c4fd3c7d990,配置,replace-dry-unscanned-depth-with-logged-high-density-underconsumed-pages,10,7,6,5,3,3,2,1,1,1,2,12,12,0.8571428571428571,0.8333333333333334,0.6666666666666666,0,0,0,0,
v194,20260725_083000_ozon10m_v194,true,37955273cb3a5368fab7484145be0eaf1ac9e851,配置,newest-sort-on-historical-final-success-sellers,10,2,0,0,0,0,1,1,0,0,0,6,0,0,,,0,0,0,0,
